Date,Time,slev_m
15/03/2019,14:00,2.277
15/03/2019,15:00,1.814
15/03/2019,16:00,1.381
15/03/2019,17:00,1.052
15/03/2019,18:00,0.897
15/03/2019,19:00,0.963
15/03/2019,20:00,1.223
15/03/2019,21:00,1.592
15/03/2019,22:00,2.013
15/03/2019,23:00,2.474
16/03/2019,0:00,2.918
16/03/2019,1:00,3.239
16/03/2019,2:00,3.388
16/03/2019,3:00,3.407
16/03/2019,4:00,3.349
16/03/2019,5:00,3.23
16/03/2019,6:00,3.087
16/03/2019,7:00,2.999
16/03/2019,8:00,3.003
16/03/2019,9:00,3.059
16/03/2019,10:00,3.13
16/03/2019,11:00,3.191
16/03/2019,12:00,3.178
16/03/2019,13:00,3.022
16/03/2019,14:00,2.711
16/03/2019,15:00,2.283
16/03/2019,16:00,1.806
16/03/2019,17:00,1.355
16/03/2019,18:00,0.995
16/03/2019,19:00,0.804
16/03/2019,20:00,0.856
16/03/2019,21:00,1.132
16/03/2019,22:00,1.526
16/03/2019,23:00,1.984
17/03/2019,0:00,2.505
17/03/2019,1:00,3.012
17/03/2019,2:00,3.362
17/03/2019,3:00,3.496
17/03/2019,4:00,3.486
17/03/2019,5:00,3.393
17/03/2019,6:00,3.216
17/03/2019,7:00,2.996
17/03/2019,8:00,2.849
17/03/2019,9:00,2.842
17/03/2019,10:00,2.927
17/03/2019,11:00,3.033
17/03/2019,12:00,3.124
17/03/2019,13:00,3.151
17/03/2019,14:00,3.043
17/03/2019,15:00,2.753
17/03/2019,16:00,2.311
17/03/2019,17:00,1.81
17/03/2019,18:00,1.336
17/03/2019,19:00,0.944
17/03/2019,20:00,0.731
17/03/2019,21:00,0.799
17/03/2019,22:00,1.115
17/03/2019,23:00,1.549
18/03/2019,0:00,2.053
18/03/2019,1:00,2.63
18/03/2019,2:00,3.166
18/03/2019,3:00,3.484
18/03/2019,4:00,3.554
18/03/2019,5:00,3.478
18/03/2019,6:00,3.313
18/03/2019,7:00,3.043
18/03/2019,8:00,2.742
18/03/2019,9:00,2.579
18/03/2019,10:00,2.618
18/03/2019,11:00,2.764
18/03/2019,12:00,2.918
18/03/2019,13:00,3.059
18/03/2019,14:00,3.151
18/03/2019,15:00,3.091
18/03/2019,16:00,2.799
18/03/2019,17:00,2.329
18/03/2019,18:00,1.811
18/03/2019,19:00,1.321
18/03/2019,20:00,0.907
18/03/2019,21:00,0.702
18/03/2019,22:00,0.827
18/03/2019,23:00,1.208
19/03/2019,0:00,1.687
19/03/2019,1:00,2.234
19/03/2019,2:00,2.843
19/03/2019,3:00,3.354
19/03/2019,4:00,3.583
19/03/2019,5:00,3.544
19/03/2019,6:00,3.37
19/03/2019,7:00,3.099
19/03/2019,8:00,2.722
19/03/2019,9:00,2.373
19/03/2019,10:00,2.25
19/03/2019,11:00,2.371
19/03/2019,12:00,2.583
19/03/2019,13:00,2.793
19/03/2019,14:00,3.008
19/03/2019,15:00,3.173
19/03/2019,16:00,3.135
19/03/2019,17:00,2.819
19/03/2019,18:00,2.33
19/03/2019,19:00,1.813
19/03/2019,20:00,1.318
19/03/2019,21:00,0.905
19/03/2019,22:00,0.755
19/03/2019,23:00,0.972
20/03/2019,0:00,1.42
20/03/2019,1:00,1.933
20/03/2019,2:00,2.507
20/03/2019,3:00,3.11
20/03/2019,4:00,3.536
20/03/2019,5:00,3.625
20/03/2019,6:00,3.452
20/03/2019,7:00,3.157
20/03/2019,8:00,2.763
20/03/2019,9:00,2.3
20/03/2019,10:00,1.958
20/03/2019,11:00,1.919
20/03/2019,12:00,2.124
20/03/2019,13:00,2.397
20/03/2019,14:00,2.678
20/03/2019,15:00,2.981
20/03/2019,16:00,3.2
20/03/2019,17:00,3.155
20/03/2019,18:00,2.817
20/03/2019,19:00,2.335
20/03/2019,20:00,1.837
20/03/2019,21:00,1.348
20/03/2019,22:00,0.973
20/03/2019,23:00,0.921
21/03/2019,0:00,1.237
21/03/2019,1:00,1.726
21/03/2019,2:00,2.249
21/03/2019,3:00,2.824
21/03/2019,4:00,3.372
21/03/2019,5:00,3.66
21/03/2019,6:00,3.581
21/03/2019,7:00,3.265
21/03/2019,8:00,2.848
21/03/2019,9:00,2.349
21/03/2019,10:00,1.85
21/03/2019,11:00,1.566
21/03/2019,12:00,1.622
21/03/2019,13:00,1.899
21/03/2019,14:00,2.232
21/03/2019,15:00,2.596
21/03/2019,16:00,2.975
21/03/2019,17:00,3.215
21/03/2019,18:00,3.153
21/03/2019,19:00,2.82
21/03/2019,20:00,2.373
21/03/2019,21:00,1.901
21/03/2019,22:00,1.441
21/03/2019,23:00,1.145
22/03/2019,0:00,1.206
22/03/2019,1:00,1.586
22/03/2019,2:00,2.072
22/03/2019,3:00,2.579
22/03/2019,4:00,3.123
22/03/2019,5:00,3.565
22/03/2019,6:00,3.675
22/03/2019,7:00,3.43
22/03/2019,8:00,2.995
22/03/2019,9:00,2.482
22/03/2019,10:00,1.922
22/03/2019,11:00,1.443
22/03/2019,12:00,1.247
22/03/2019,13:00,1.388
22/03/2019,14:00,1.72
22/03/2019,15:00,2.116
22/03/2019,16:00,2.556
22/03/2019,17:00,2.979
22/03/2019,18:00,3.216
22/03/2019,19:00,3.154
22/03/2019,20:00,2.857
22/03/2019,21:00,2.458
22/03/2019,22:00,2.023
22/03/2019,23:00,1.621
23/03/2019,0:00,1.426
23/03/2019,1:00,1.571
23/03/2019,2:00,1.955
23/03/2019,3:00,2.4
23/03/2019,4:00,2.87
23/03/2019,5:00,3.343
23/03/2019,6:00,3.631
23/03/2019,7:00,3.562
23/03/2019,8:00,3.191
23/03/2019,9:00,2.681
23/03/2019,10:00,2.116
23/03/2019,11:00,1.549
23/03/2019,12:00,1.132
23/03/2019,13:00,1.028
23/03/2019,14:00,1.235
23/03/2019,15:00,1.611
23/03/2019,16:00,2.06
23/03/2019,17:00,2.548
23/03/2019,18:00,2.984
23/03/2019,19:00,3.218
23/03/2019,20:00,3.181
23/03/2019,21:00,2.937
23/03/2019,22:00,2.591
23/03/2019,23:00,2.209
24/03/2019,0:00,1.886
24/03/2019,1:00,1.778
24/03/2019,2:00,1.948
24/03/2019,3:00,2.285
24/03/2019,4:00,2.669
24/03/2019,5:00,3.078
24/03/2019,6:00,3.436
24/03/2019,7:00,3.554
24/03/2019,8:00,3.346
24/03/2019,9:00,2.912
24/03/2019,10:00,2.378
24/03/2019,11:00,1.806
24/03/2019,12:00,1.278
24/03/2019,13:00,0.947
24/03/2019,14:00,0.924
24/03/2019,15:00,1.172
24/03/2019,16:00,1.574
24/03/2019,17:00,2.052
24/03/2019,18:00,2.555
24/03/2019,19:00,2.987
24/03/2019,20:00,3.229
24/03/2019,21:00,3.232
24/03/2019,22:00,3.047
24/03/2019,23:00,2.76
25/03/2019,0:00,2.447
25/03/2019,1:00,2.2
