"","Date","Time","SP","Temp"
"204",2019-04-13,"10:36:00","Cedar",9
"205",2019-04-13,"11:36:00","Cedar",9
"206",2019-04-13,"12:36:00","Cedar",9.5
"207",2019-04-13,"13:36:00","Cedar",9.5
"208",2019-04-13,"14:36:00","Cedar",10
"209",2019-04-13,"15:36:00","Cedar",10
"210",2019-04-13,"16:36:00","Cedar",12
"211",2019-04-13,"17:36:00","Cedar",16.5
"212",2019-04-13,"18:36:00","Cedar",13
"213",2019-04-13,"19:36:00","Cedar",9
"214",2019-04-13,"20:36:00","Cedar",7.5
"215",2019-04-13,"21:36:00","Cedar",10
"216",2019-04-13,"22:36:00","Cedar",9.5
"217",2019-04-13,"23:36:00","Cedar",9.5
"218",2019-04-14,"00:36:00","Cedar",9.5
"219",2019-04-14,"01:36:00","Cedar",9.5
"220",2019-04-14,"02:36:00","Cedar",9.5
"221",2019-04-14,"03:36:00","Cedar",9.5
"222",2019-04-14,"04:36:00","Cedar",9.5
"223",2019-04-14,"05:36:00","Cedar",9
"224",2019-04-14,"06:36:00","Cedar",9
"225",2019-04-14,"07:36:00","Cedar",9
"226",2019-04-14,"08:36:00","Cedar",9
"227",2019-04-14,"09:36:00","Cedar",9
"228",2019-04-14,"10:36:00","Cedar",9.5
"229",2019-04-14,"11:36:00","Cedar",9.5
"230",2019-04-14,"12:36:00","Cedar",9.5
"231",2019-04-14,"13:36:00","Cedar",9.5
"232",2019-04-14,"14:36:00","Cedar",10
"233",2019-04-14,"15:36:00","Cedar",10
"234",2019-04-14,"16:36:00","Cedar",10.5
"235",2019-04-14,"17:36:00","Cedar",10.5
"236",2019-04-14,"18:36:00","Cedar",10
"237",2019-04-14,"19:36:00","Cedar",9.5
"238",2019-04-14,"20:36:00","Cedar",8
"239",2019-04-14,"21:36:00","Cedar",7.5
"240",2019-04-14,"22:36:00","Cedar",10
"241",2019-04-14,"23:36:00","Cedar",9.5
"242",2019-04-15,"00:36:00","Cedar",9.5
"243",2019-04-15,"01:36:00","Cedar",9.5
"244",2019-04-15,"02:36:00","Cedar",9.5
"245",2019-04-15,"03:36:00","Cedar",9.5
"246",2019-04-15,"04:36:00","Cedar",9.5
"247",2019-04-15,"05:36:00","Cedar",9
"248",2019-04-15,"06:36:00","Cedar",9
"249",2019-04-15,"07:36:00","Cedar",9
"250",2019-04-15,"08:36:00","Cedar",9
"251",2019-04-15,"09:36:00","Cedar",9
"252",2019-04-15,"10:36:00","Cedar",9.5
"253",2019-04-15,"11:36:00","Cedar",9.5
"254",2019-04-15,"12:36:00","Cedar",9.5
"255",2019-04-15,"13:36:00","Cedar",9.5
"256",2019-04-15,"14:36:00","Cedar",10
"257",2019-04-15,"15:36:00","Cedar",10
"258",2019-04-15,"16:36:00","Cedar",10.5
"259",2019-04-15,"17:36:00","Cedar",11
"260",2019-04-15,"18:36:00","Cedar",11.5
"261",2019-04-15,"19:36:00","Cedar",9.5
"262",2019-04-15,"20:36:00","Cedar",8.5
"263",2019-04-15,"21:36:00","Cedar",7
