Date/Time,Unit,Value,
2019-05-19, 12:52:00 PM,C,12.5
2019-05-19, 1:52:00 PM,C,12
2019-05-19, 2:52:00 PM,C,11.5
2019-05-19, 3:52:00 PM,C,11.5
2019-05-19, 4:52:00 PM,C,12.5
2019-05-19, 5:52:00 PM,C,12
2019-05-19, 6:52:00 PM,C,12.5
2019-05-19, 7:52:00 PM,C,12.5
2019-05-19, 8:52:00 PM,C,12.5
2019-05-19, 9:52:00 PM,C,13
2019-05-19, 10:52:00 PM,C,12.5
2019-05-19, 11:52:00 PM,C,12.5
2019-05-20, 12:52:00 AM,C,12
2019-05-20, 1:52:00 AM,C,11.5
2019-05-20, 2:52:00 AM,C,11.5
2019-05-20, 3:52:00 AM,C,12
2019-05-20, 4:52:00 AM,C,12.5
2019-05-20, 5:52:00 AM,C,12.5
2019-05-20, 6:52:00 AM,C,12.5
2019-05-20, 7:52:00 AM,C,12
2019-05-20, 8:52:00 AM,C,12.5
2019-05-20, 9:52:00 AM,C,13
2019-05-20, 10:52:00 AM,C,13.5
2019-05-20, 11:52:00 AM,C,13
2019-05-20, 12:52:00 PM,C,12.5
2019-05-20, 1:52:00 PM,C,12.5
2019-05-20, 2:52:00 PM,C,12.5
2019-05-20, 3:52:00 PM,C,12.5
2019-05-20, 4:52:00 PM,C,12.5
2019-05-20, 5:52:00 PM,C,12.5
2019-05-20, 6:52:00 PM,C,12.5
2019-05-20, 7:52:00 PM,C,12.5
2019-05-20, 8:52:00 PM,C,12.5
2019-05-20, 9:52:00 PM,C,12.5
2019-05-20, 10:52:00 PM,C,12
2019-05-20, 11:52:00 PM,C,12.5
2019-05-21, 12:52:00 AM,C,12
2019-05-21, 1:52:00 AM,C,11
2019-05-21, 2:52:00 AM,C,11
2019-05-21, 3:52:00 AM,C,11
2019-05-21, 4:52:00 AM,C,11
2019-05-21, 5:52:00 AM,C,12
2019-05-21, 6:52:00 AM,C,12
2019-05-21, 7:52:00 AM,C,12.5
2019-05-21, 8:52:00 AM,C,16
2019-05-21, 9:52:00 AM,C,23
2019-05-21, 10:52:00 AM,C,27.5
2019-05-21, 11:52:00 AM,C,13.5
2019-05-21, 12:52:00 PM,C,13
2019-05-21, 1:52:00 PM,C,12.5
2019-05-21, 2:52:00 PM,C,12.5
2019-05-21, 3:52:00 PM,C,12
2019-05-21, 4:52:00 PM,C,11.5
2019-05-21, 5:52:00 PM,C,12
2019-05-21, 6:52:00 PM,C,11.5
2019-05-21, 7:52:00 PM,C,11.5
2019-05-21, 8:52:00 PM,C,12
2019-05-21, 9:52:00 PM,C,12
2019-05-21, 10:52:00 PM,C,12
2019-05-21, 11:52:00 PM,C,12
2019-05-22, 12:52:00 AM,C,12
2019-05-22, 1:52:00 AM,C,12
2019-05-22, 2:52:00 AM,C,12
2019-05-22, 3:52:00 AM,C,11.5
2019-05-22, 4:52:00 AM,C,12
2019-05-22, 5:52:00 AM,C,12
2019-05-22, 6:52:00 AM,C,12
2019-05-22, 7:52:00 AM,C,12
2019-05-22, 8:52:00 AM,C,12.5
2019-05-22, 9:52:00 AM,C,13.5
2019-05-22, 10:52:00 AM,C,16.5
2019-05-22, 11:52:00 AM,C,25.5
2019-05-22, 12:52:00 PM,C,13.5
2019-05-22, 1:52:00 PM,C,13
2019-05-22, 2:52:00 PM,C,12.5
2019-05-22, 3:52:00 PM,C,12.5
2019-05-22, 4:52:00 PM,C,13
2019-05-22, 5:52:00 PM,C,12.5
2019-05-22, 6:52:00 PM,C,12.5
2019-05-22, 7:52:00 PM,C,12.5
2019-05-22, 8:52:00 PM,C,12.5
2019-05-22, 9:52:00 PM,C,12.5
2019-05-22, 10:52:00 PM,C,12
2019-05-22, 11:52:00 PM,C,11.5
2019-05-23, 12:52:00 AM,C,11.5
2019-05-23, 1:52:00 AM,C,11.5
2019-05-23, 2:52:00 AM,C,12
2019-05-23, 3:52:00 AM,C,12
2019-05-23, 4:52:00 AM,C,12
2019-05-23, 5:52:00 AM,C,12.5
2019-05-23, 6:52:00 AM,C,12.5
2019-05-23, 7:52:00 AM,C,12.5
2019-05-23, 8:52:00 AM,C,12.5
2019-05-23, 9:52:00 AM,C,16
2019-05-23, 10:52:00 AM,C,20.5
2019-05-23, 11:52:00 AM,C,20.5
2019-05-23, 12:52:00 PM,C,13.5
2019-05-23, 1:52:00 PM,C,12.5
