Date,Stage,Days_diff,SR,SP,OR,OS,Block,ID,L,Th,TW,SW,SG,DIED,OSTRINA,Notes,,,Legend,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,O,CG05,34.72,1.43,5.52,2.76,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG64,31.24,3.7,5.52,,8,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,O,CG57,30.74,2.21,5.52,3.11,36,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG94,31.13,2.47,5.51,3.05,29,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,O,CG47,32.27,3.55,5.47,2.91,7,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG64,31.06,3.8,5.45,2.98,7,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,R,CG36,30.51,2.71,5.42,3.02,0,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,R,CG36,30.73,2.25,5.4,2.9,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,R,CG30,32.34,3.36,5.38,2.88,22,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,R,CG38,31.93,2.71,5.35,2.72,16,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,O,CG41,31.14,2.23,5.32,2.78,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,O,CG15,29.74,2.91,5.25,2.77,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,O,CG60,29.86,2.12,5.25,2.86,33,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,O,CG45,31.13,3.37,5.22,2.77,3,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,O,CG70,29.2,4.02,5.22,,6,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG98,30,3.65,5.14,,13,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,Y,CG33,30.61,2.67,5.11,2.71,12,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,O,CG95,30.2,3.52,5.11,,18,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,B,CG40,29.48,3.37,5.11,2.78,26,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,B,CG37,29.1,2.89,5.07,2.72,6,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG67,30.72,3.33,5.03,2.76,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,Y,CG35,32.26,1.94,5,2.57,,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,O,CG07,29.59,3.41,5,2.73,16,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,B,CG37,28.1,2.68,4.98,2.65,5,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,O,CG71,31.78,2.7,4.96,2.65,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,R,CG59,29.83,3.16,4.95,,14,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,O,CG47,31.5,2.92,4.9,2.54,1,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,R,CG01,30.33,1.53,4.85,2.63,,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,R,CG08,29.51,2.56,4.83,2.66,18,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,Y,CG28,30.37,2.19,4.78,2.63,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,O,CG45,30.86,1.71,4.77,2.56,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,B,CG49,29.34,3.45,4.76,,11,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,B,CG49,29.27,3.07,4.76,2.62,10,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG55,28.91,4.08,4.63,2.48,10,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,O,CG47,31.66,1.51,4.61,2.45,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG64,30.34,3.15,4.6,2.51,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG55,29.23,3.84,4.6,,8,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,Y,CG48,30.32,2.19,4.59,2.53,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,O,CG44,28.99,3.07,4.59,2.45,12,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,R,CG88,27.94,3.22,4.52,,5,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG51,28.45,3.51,4.48,,7,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG51,28.31,4.13,4.48,2.44,10,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,B,CG52,28.05,3.09,4.48,2.53,27,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,O,CG70,28.8,3.11,4.45,2.38,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,R,CG88,27.71,3.13,4.45,2.45,6,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,R,CG27,29.28,3.43,4.43,2.4,22,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,B,CG37,28.73,2.04,4.37,2.36,,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,B,CG03,28.36,2.56,4.32,2.37,10,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG68,28,3.39,4.31,2.39,4,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG68,28.84,3.4,4.3,,2,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG85,29.75,3,4.27,2.31,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,B,CG40,27.62,2.92,4.26,2.27,18,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG50,27.91,2.78,4.22,2.34,16,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,B,CG21,30.83,1.75,4.18,2.17,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG94,29.33,3.49,4.18,,10,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,Y,CG33,29.22,1.96,4.16,2.2,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG87,29.16,3.37,4.16,,8,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG87,29,3.49,4.16,2.29,10,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG68,28.6,3.13,4.07,2.22,,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,B,CG03,28.12,2.38,4.06,2.22,8,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,O,CG57,26.83,3.36,4.05,,14,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,R,CG88,27.87,2.98,4.03,2.21,,0,0,,,,,
