Date/Time,Unit,Value,
2019-03-29, 3:27:00 AM,C,14.5
2019-03-29, 4:27:00 AM,C,14
2019-03-29, 5:27:00 AM,C,14
2019-03-29, 6:27:00 AM,C,14
2019-03-29, 7:27:00 AM,C,13.5
2019-03-29, 8:27:00 AM,C,13.5
2019-03-29, 9:27:00 AM,C,13.5
2019-03-29, 10:27:00 AM,C,13.5
2019-03-30, 11:27:00 AM,C,13
2019-03-30, 12:27:00 PM,C,13
2019-03-30, 1:27:00 PM,C,13.5
2019-03-30, 2:27:00 PM,C,11.5
2019-03-30, 3:27:00 PM,C,10.5
2019-03-30, 4:27:00 PM,C,12
2019-03-30, 5:27:00 PM,C,13
2019-03-30, 6:27:00 PM,C,14
2019-03-30, 7:27:00 PM,C,13
2019-03-30, 8:27:00 PM,C,13
2019-03-30, 9:27:00 PM,C,13
2019-03-30, 10:27:00 PM,C,13
2019-03-30, 11:27:00 PM,C,13
2019-03-30, 12:27:00 AM,C,13.5
2019-03-30, 1:27:00 AM,C,13.5
2019-03-30, 2:27:00 AM,C,13.5
2019-03-30, 3:27:00 AM,C,13.5
2019-03-30, 4:27:00 AM,C,14
2019-03-30, 5:27:00 AM,C,14
2019-03-30, 6:27:00 AM,C,13.5
2019-03-30, 7:27:00 AM,C,13.5
2019-03-30, 8:27:00 AM,C,13.5
2019-03-30, 9:27:00 AM,C,13
2019-03-30, 10:27:00 AM,C,12
2019-03-31, 11:27:00 AM,C,12.5
2019-03-31, 12:27:00 PM,C,13
2019-03-31, 1:27:00 PM,C,13.5
2019-03-31, 2:27:00 PM,C,13.5
2019-03-31, 3:27:00 PM,C,13
2019-03-31, 4:27:00 PM,C,13.5
2019-03-31, 5:27:00 PM,C,14
2019-03-31, 6:27:00 PM,C,16
2019-03-31, 7:27:00 PM,C,17
2019-03-31, 8:27:00 PM,C,14
2019-03-31, 9:27:00 PM,C,14
2019-03-31, 10:27:00 PM,C,14
2019-03-31, 11:27:00 PM,C,13.5
2019-03-31, 12:27:00 AM,C,14
2019-03-31, 1:27:00 AM,C,13.5
2019-03-31, 2:27:00 AM,C,14
2019-03-31, 3:27:00 AM,C,14
2019-03-31, 4:27:00 AM,C,14
