Date/Time,Unit,Value,
2019-05-17, 7:49:00 AM,C,10.5
2019-05-17, 8:49:00 AM,C,11
2019-05-17, 9:49:00 AM,C,11
2019-05-17, 10:49:00 AM,C,11
2019-05-17, 11:49:00 AM,C,11
2019-05-17, 12:49:00 PM,C,11
2019-05-17, 1:49:00 PM,C,11.5
2019-05-17, 2:49:00 PM,C,11.5
2019-05-17, 3:49:00 PM,C,11.5
2019-05-17, 4:49:00 PM,C,12
2019-05-17, 5:49:00 PM,C,12.5
2019-05-17, 6:49:00 PM,C,13.5
2019-05-17, 7:49:00 PM,C,13
2019-05-17, 8:49:00 PM,C,12
2019-05-17, 9:49:00 PM,C,11
2019-05-17, 10:49:00 PM,C,11.5
2019-05-17, 11:49:00 PM,C,11.5
2019-05-18, 12:49:00 AM,C,11.5
2019-05-18, 1:49:00 AM,C,11
2019-05-18, 2:49:00 AM,C,11
2019-05-18, 3:49:00 AM,C,11.5
2019-05-18, 4:49:00 AM,C,11.5
2019-05-18, 5:49:00 AM,C,11.5
2019-05-18, 6:49:00 AM,C,11
2019-05-18, 7:49:00 AM,C,11.5
2019-05-18, 8:49:00 AM,C,12
2019-05-18, 9:49:00 AM,C,12
2019-05-18, 10:49:00 AM,C,11.5
2019-05-18, 11:49:00 AM,C,11.5
2019-05-18, 12:49:00 PM,C,11.5
2019-05-18, 1:49:00 PM,C,10.5
2019-05-18, 2:49:00 PM,C,10.5
2019-05-18, 3:49:00 PM,C,11
2019-05-18, 4:49:00 PM,C,11.5
2019-05-18, 5:49:00 PM,C,12
2019-05-18, 6:49:00 PM,C,12.5
2019-05-18, 7:49:00 PM,C,12
2019-05-18, 8:49:00 PM,C,12
2019-05-18, 9:49:00 PM,C,11.5
2019-05-18, 10:49:00 PM,C,10.5
2019-05-18, 11:49:00 PM,C,10.5
2019-05-19, 12:49:00 AM,C,11
2019-05-19, 1:49:00 AM,C,10.5
2019-05-19, 2:49:00 AM,C,10.5
2019-05-19, 3:49:00 AM,C,10.5
2019-05-19, 4:49:00 AM,C,10.5
2019-05-19, 5:49:00 AM,C,11
2019-05-19, 6:49:00 AM,C,10
2019-05-19, 7:49:00 AM,C,10
2019-05-19, 8:49:00 AM,C,9.5
2019-05-19, 9:49:00 AM,C,10
2019-05-19, 10:49:00 AM,C,11
2019-05-19, 11:49:00 AM,C,10.5
2019-05-19, 12:49:00 PM,C,11
2019-05-19, 1:49:00 PM,C,11
2019-05-19, 2:49:00 PM,C,11
2019-05-19, 3:49:00 PM,C,10.5
2019-05-19, 4:49:00 PM,C,10.5
2019-05-19, 5:49:00 PM,C,11.5
2019-05-19, 6:49:00 PM,C,11
2019-05-19, 7:49:00 PM,C,11
2019-05-19, 8:49:00 PM,C,11.5
2019-05-19, 9:49:00 PM,C,11.5
2019-05-19, 10:49:00 PM,C,11.5
2019-05-19, 11:49:00 PM,C,10.5
2019-05-20, 12:49:00 AM,C,11.5
2019-05-20, 1:49:00 AM,C,11.5
2019-05-20, 2:49:00 AM,C,11.5
2019-05-20, 3:49:00 AM,C,10.5
2019-05-20, 4:49:00 AM,C,11
2019-05-20, 5:49:00 AM,C,11
2019-05-20, 6:49:00 AM,C,11.5
2019-05-20, 7:49:00 AM,C,11
2019-05-20, 8:49:00 AM,C,11.5
2019-05-20, 9:49:00 AM,C,12.5
2019-05-20, 10:49:00 AM,C,12
2019-05-20, 11:49:00 AM,C,11.5
2019-05-20, 12:49:00 PM,C,11.5
2019-05-20, 1:49:00 PM,C,11.5
2019-05-20, 2:49:00 PM,C,10.5
2019-05-20, 3:49:00 PM,C,10.5
2019-05-20, 4:49:00 PM,C,10.5
2019-05-20, 5:49:00 PM,C,11
2019-05-20, 6:49:00 PM,C,11.5
2019-05-20, 7:49:00 PM,C,11.5
2019-05-20, 8:49:00 PM,C,11.5
2019-05-20, 9:49:00 PM,C,11.5
2019-05-20, 10:49:00 PM,C,12
2019-05-20, 11:49:00 PM,C,11.5
2019-05-21, 12:49:00 AM,C,11.5
2019-05-21, 1:49:00 AM,C,11.5
2019-05-21, 2:49:00 AM,C,11.5
2019-05-21, 3:49:00 AM,C,11
2019-05-21, 4:49:00 AM,C,11
2019-05-21, 5:49:00 AM,C,11
2019-05-21, 6:49:00 AM,C,11.5
2019-05-21, 7:49:00 AM,C,11.5
2019-05-21, 8:49:00 AM,C,11.5
2019-05-21, 9:49:00 AM,C,11.5
2019-05-21, 10:49:00 AM,C,11.5
2019-05-21, 11:49:00 AM,C,12
2019-05-21, 12:49:00 PM,C,12
2019-05-21, 1:49:00 PM,C,12.5
2019-05-21, 2:49:00 PM,C,11.5
2019-05-21, 3:49:00 PM,C,11
2019-05-21, 4:49:00 PM,C,11
2019-05-21, 5:49:00 PM,C,11
2019-05-21, 6:49:00 PM,C,10.5
2019-05-21, 7:49:00 PM,C,11
2019-05-21, 8:49:00 PM,C,12
2019-05-21, 9:49:00 PM,C,12
2019-05-21, 10:49:00 PM,C,12
2019-05-21, 11:49:00 PM,C,11.5
2019-05-22, 12:49:00 AM,C,10.5
2019-05-22, 1:49:00 AM,C,10
2019-05-22, 2:49:00 AM,C,10.5
2019-05-22, 3:49:00 AM,C,11
2019-05-22, 4:49:00 AM,C,11
2019-05-22, 5:49:00 AM,C,10.5
2019-05-22, 6:49:00 AM,C,10.5
2019-05-22, 7:49:00 AM,C,11
2019-05-22, 8:49:00 AM,C,11
2019-05-22, 9:49:00 AM,C,12
2019-05-22, 10:49:00 AM,C,13.5
2019-05-22, 11:49:00 AM,C,13
2019-05-22, 12:49:00 PM,C,13
2019-05-22, 1:49:00 PM,C,12.5
2019-05-22, 2:49:00 PM,C,12
2019-05-22, 3:49:00 PM,C,12
2019-05-22, 4:49:00 PM,C,12
2019-05-22, 5:49:00 PM,C,11.5
2019-05-22, 6:49:00 PM,C,11
2019-05-22, 7:49:00 PM,C,11.5
2019-05-22, 8:49:00 PM,C,12
2019-05-22, 9:49:00 PM,C,12
2019-05-22, 10:49:00 PM,C,12
2019-05-22, 11:49:00 PM,C,12
2019-05-23, 12:49:00 AM,C,12
2019-05-23, 1:49:00 AM,C,11.5
2019-05-23, 2:49:00 AM,C,11.5
2019-05-23, 3:49:00 AM,C,11.5
2019-05-23, 4:49:00 AM,C,11
2019-05-23, 5:49:00 AM,C,11.5
2019-05-23, 6:49:00 AM,C,11.5
